# IMMUTABLE RAW PULL — DO NOT MODIFY
# Instrument: SPY
# Source: IBKR TWS port 7497
# whatToShow: ADJUSTED_LAST
# barSizeSetting: 1 day, useRTH: True
# Pull date: 2026-07-01
# Rows: 6033
date,open,high,low,close,volume
2023-01-13,376.37,381.61,376.11,381.04,44005865.0
2023-01-17,381.02,382.69,379.66,380.34,43668430.0
2023-01-18,381.55,382.59,374.14,374.34,65820583.0
2023-01-19,372.29,373.94,370.29,371.61,59735951.0
2023-01-20,373.0,378.69,371.36,378.53,54559167.0
2023-01-23,379.34,385.01,378.38,383.08,57007796.0
2023-01-24,381.4,383.57,380.22,382.67,40343678.0
2023-01-25,378.6,383.14,376.32,382.81,59716264.0
2023-01-26,385.46,387.18,382.5,387.02,47408652.0
2023-01-27,385.96,390.28,385.76,387.9,46776781.0
2023-01-30,385.15,387.38,382.74,383.04,49689031.0
2023-01-31,383.54,388.72,383.21,388.67,51546853.0
2023-02-01,387.46,395.54,384.72,392.8,74154479.0
2023-02-02,396.68,399.98,394.79,398.52,70137165.0
2023-02-03,393.56,398.7,393.08,394.28,59024297.0
2023-02-06,391.83,393.27,390.22,391.87,41912478.0
2023-02-07,390.96,398.24,389.71,397.0,65527166.0
2023-02-08,395.03,396.37,391.97,392.66,53121334.0
2023-02-09,396.25,396.41,388.03,389.25,58186222.0
2023-02-10,388.1,390.54,387.26,390.16,50793032.0
2023-02-13,390.81,394.88,390.35,394.74,45120105.0
2023-02-14,393.22,396.86,390.61,394.56,64108660.0
2023-02-15,392.38,395.86,391.53,395.84,41926842.0
2023-02-16,390.88,394.82,390.26,390.39,58945055.0
2023-02-17,388.27,389.65,386.35,389.42,58488250.0
2023-02-21,385.4,386.45,381.35,381.6,55836701.0
2023-02-22,382.01,383.55,379.62,381.08,60220159.0
2023-02-23,383.97,384.58,378.89,383.1,73732931.0
2023-02-24,378.08,379.84,376.39,379.01,79686770.0
2023-02-27,382.34,383.71,379.37,380.3,60214992.0
2023-02-28,379.83,381.79,378.82,378.9,61383827.0
2023-03-01,378.08,379.31,376.14,377.44,69763649.0
2023-03-02,375.48,381.22,375.14,380.38,63313179.0
2023-03-03,382.2,386.73,381.55,386.48,63788472.0
2023-03-06,387.29,389.6,386.33,386.75,53664745.0
2023-03-07,386.7,386.94,380.2,380.82,79467673.0
2023-03-08,380.93,382.2,379.21,381.44,57034645.0
2023-03-09,382.24,383.89,373.42,374.4,84627097.0
2023-03-10,373.86,375.93,367.48,369.0,129405708.0
